recto,verso,archival_object_id,,note: completed rows removed from this tab
ws859k76d,ws859k77p,249331,,
ws859m27p,,245147,,
ws859v28d,ws859v29p,245338,,
ws85b612r,ws85b6131,248735,,
ws85b531r,ws85b5207,245378,,
ws859k818,ws859k800,248491,,
ws85b5097,ws85b498x,255213,,
ws859k15p,ws859k045,248483,,
ws85b410s,ws85b2293,249428,,
ws859p10x,ws859p095,249398,,
ws85b2004,ws85b199k,248726,,
ws859s41j,ws859s42t,255573,,
ws85b219v,ws85b218k,248734,,
ws859t090,ws859t10r,248076,,
ws85b400j,ws85b203z,248727,,
ws859w22z,ws859w25s,255188,,
ws859s14n,ws859s15x,249839,,
ws85bc80x,ws85bc795,,,
ws859j082,ws859j07s,252886,,
ws859n88m,ws859n862,245319,,
ws859j53w,ws859j52m,254305,,
ws859r63c,ws859r65x,255564,,
ws85bb07q,ws85bb055,,,
ws85bc46m,ws85bc45b,,,
ws859r86p,ws859r87z,248042,,
ws85b6042,ws85b603s,248094,,
ws859r30t,ws859r292,248057,,
ws859s123,ws859s13c,245838,,
ws859s301,ws859s319,245342,,
ws85bc353,ws85bc34t,,,
ws859m51r,,245122,,
ws859p69m,ws859p70c,251118,,
ws859r68r,ws859r691,248510,,
ws859g51x,ws859g50n,245822,,
ws859q70k,ws859q69t,245325,,
ws85bb44v,ws85bb43k,,,
ws859p63z,ws859p647,249410,,
ws85b413m,ws85b299s,252939,,
ws859v958,ws859v97t,255106,,
ws859n285,,247835,,
ws859f90d,ws859f89n,252869,,
ws85b811w,ws85b810m,,,
ws859n527,ws859n53h,,,
ws859m28z,,247880,,
ws859n94r,ws859n93g,249612,,
ws859t49z,ws859t60z,245329,,
ws859s39h,ws859s408,249420,,
ws859m36n,,247884,,
ws859g44h,ws859g437,245819,,
ws859p230,ws859p248,248151,,
ws85b873w,ws85b872m,,,
ws859s45n,ws859s46x,248070,,
ws85b7935,ws85b792w,,,
ws859k797,ws859k78z,255052,,
