id,model,children,archival_object_id,has_finding_aid_1,identifier_1,institution_1,local_collection_id_1,repository_1,resource_type,rights_statement_1,license,subject_10,subject_11,subject_12,subject_13,subject_1,subject_2,subject_3,subject_4,subject_5,subject_6,subject_7,subject_8,subject_9,title_1,visibility
kp78hf70r,Image,,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b215_03277_print_v,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85038703,http://id.loc.gov/authorities/subjects/sh85121591,,,,,,,,PH037_b215_03277_print (verso),open
df738f72r,Image,,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b193_Z01679,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85061404,http://id.loc.gov/authorities/subjects/sh85031345,http://id.loc.gov/authorities/subjects/sh85017693,http://id.loc.gov/authorities/subjects/sh85033740,,,,,,PH037_b193_Z01679,open
n870zt50x,Image,,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b213_06477_print_v,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85083510,http://id.loc.gov/authorities/subjects/sh85020264,http://id.loc.gov/authorities/subjects/sh85020268,http://id.loc.gov/authorities/subjects/sh85038703,http://id.loc.gov/authorities/subjects/sh85031748,http://id.loc.gov/authorities/subjects/sh85077857,,,,PH037_b213_06477_print (verso),open
kp78h7145,Image,,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b214_74510_print_copy3_v,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85039407,http://id.loc.gov/authorities/subjects/sh85145303,,,,,,,,USS Arctic. (copy 3) (verso),open
jm2157836,Image,jm2156139,252843,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b218_S01090_print,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85110904,http://id.loc.gov/authorities/subjects/sh85010201,http://id.loc.gov/authorities/subjects/sh85145720,http://id.loc.gov/authorities/subjects/sh85016829,,,,,,Multnomah Falls. (recto),open
df738c11m,Image,,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b183_84770_copy2,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85062487,http://id.loc.gov/authorities/subjects/sh85017769,http://id.loc.gov/authorities/subjects/sh85006587,,,,,,,"Temple Hotel, Pendleton OR (M.S. Temple).",open
df71g5602,Image,,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b039_B00890,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85017769,http://id.loc.gov/authorities/subjects/sh85062285,,,,,,,,"Multnomah Hospital, 2nd St., Portland, in large house on wooded grounds. Trees, driveway in foreground.",open
n870zx39j,Image,,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b226_B00505_print_v,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85058057,http://id.loc.gov/authorities/subjects/sh85046329,,,,,,,,"Gymnasium room with exercise equipment, mats, etc. Identified as room in US National Bank, Portland. Scale against rear wall. (verso)",open
df738970c,Image,,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b180_Z01829,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85123586,http://id.loc.gov/authorities/subjects/sh85025567,,,,,,,,PH037_b180_Z01829,open
j3860p50r,Image,,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b216_H00526_print_copy2_v,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85046347,http://id.loc.gov/authorities/subjects/sh85017769,,,,,,,,Archway at entrance to Lewis and Clark Exposition. (verso),open
